region,district,district_type,H_n,H_%,K_n,K_%,L_n,L_%,U_n,U_%,electors,new_electors,ballots,voted_n,voted_%,early_voters,home_voters,pp_voters,against_all,spoilt
г. Менск,Завадскі,раён гораду,4428,3.64,9221,7.58,75931,62.42,3966,3.26,166138,465,121646,121639,73.22,48601,837,72201,27414,679
г. Менск,Ленінскі,раён гораду,4068,3.37,9952,8.24,77753,64.34,3451,2.86,165567,713,120995,120844,72.99,43996,2796,74052,25263,357
г. Менск,Маскоўскі,раён гораду,4753,3.21,9472,6.4,99879,67.5,3731,2.52,198655,376,148082,147972,74.49,60939,1791,85242,29289,848
г. Менск,Кастрычніцкі,раён гораду,3077,3.36,6569,7.17,61000,66.62,2365,2.58,124966,5,91631,91566,73.27,33855,962,56749,18165,390
г. Менск,Партызанскі,раён гораду,1870,3.79,3868,7.83,30542,61.85,1598,3.24,67502,109,49385,49379,73.15,19231,2164,27984,10914,587
г. Менск,Першамайскі,раён гораду,3873,3.2,8549,7.07,80881,66.89,3212,2.66,158455,0,121004,120919,76.31,47962,4469,68488,23092,1312
г. Менск,Савецкі,раён гораду,2664,3.2,5671,6.81,54493,65.46,2056,2.47,115005,327,83255,83243,72.38,34500,3700,45043,17608,751
г. Менск,Фрунзенскі,раён гораду,5850,3.25,12185,6.78,118364,65.83,4855,2.7,236826,1217,180703,179807,75.92,71738,2116,105953,36087,2466
г. Менск,Цэнтральны,раён гораду,2002,3.22,3647,5.87,43276,69.71,1394,2.25,81050,595,62099,62079,76.59,23463,1726,36890,11224,536
г. Менск,г. Менск. Агулам,Агулам,32585,3.33,69134,7.07,642119,65.69,26628,2.72,1314164,3807,978800,977448,74.38,384285,20561,572602,199056,7926
Менская вобласць,Бярэзінскі,раён,231,1.37,546,3.23,15368,91.01,162,0.96,18207,17,16886,16886,92.74,7054,2455,7377,415,164
Менская вобласць,Барысаўскі,раён,6013,4.91,5890,4.81,101647,83.03,4372,3.57,139643,196,122467,122417,87.66,51451,8720,62246,4445,50
Менская вобласць,Вілейскі,раён,469,1.38,2842,8.38,29209,86.17,293,0.86,36947,601,33898,33898,91.75,14226,6178,13494,820,265
Менская вобласць,Валожынскі,раён,904,3.38,539,2.01,24018,89.68,685,2.56,28234,103,26782,26782,94.86,11929,4328,10525,483,153
Менская вобласць,Дзяржынскі,раён,1263,2.8,2531,5.61,39092,86.63,829,1.84,49417,25,45126,45126,91.32,18092,5163,21871,1073,338
Менская вобласць,Клецкі,раён,196,0.89,646,2.94,20530,93.31,168,0.76,22993,24,22004,22003,95.69,9281,3437,9285,301,162
Менская вобласць,Капыльскі,раён,681,3.18,471,2.2,19426,90.8,243,1.14,22696,45,21395,21395,94.27,9399,2865,9131,445,129
Менская вобласць,Крупскі,раён,576,3.1,485,2.61,16892,90.92,211,1.14,20139,18,18578,18578,92.25,8215,2796,7567,337,77
Менская вобласць,Лагойскі,раён,817,3.3,951,3.84,21620,87.27,609,2.46,26502,76,24773,24773,93.48,9808,4308,10657,621,155
Менская вобласць,Любанскі,раён,281,1.18,707,2.98,21939,92.49,186,0.78,24947,30,23721,23721,95.09,10039,2024,11658,516,92
Менская вобласць,Менскі,раён,6281,4.84,3854,2.97,106680,82.2,6151,4.74,156812,202,129781,129781,82.76,44045,10516,75220,6795,20
Менская вобласць,Маладзечанскі,раён,2325,2.44,5531,5.81,77384,81.28,1360,1.43,106959,0,95208,95208,89.01,39362,7045,48801,6927,1681
Менская вобласць,Мядзельскі,раён,871,4.26,531,2.6,17798,86.99,589,2.88,22238,0,20459,20459,92.0,8242,3730,8487,654,16
Менская вобласць,Нясвіжскі,раён,521,1.83,953,3.35,25143,88.45,476,1.67,30534,17,28427,28425,93.09,11744,3049,13632,1250,82
Менская вобласць,Пухавіцкі,раён,707,1.47,2670,5.55,42683,88.77,395,0.82,52578,300,48094,48081,91.45,20411,4457,23213,1274,352
Менская вобласць,Слуцкі,раён,2607,4.23,3082,5.0,53250,86.4,1023,1.66,72339,111,61632,61632,85.2,27856,4924,28852,1564,106
Менская вобласць,Смалявіцкі,раён,618,1.89,1266,3.88,28426,87.1,483,1.48,35333,0,32637,32637,92.37,11924,4268,16445,1115,729
Менская вобласць,Салігорскі,раён,2535,2.51,5678,5.62,86574,85.64,1424,1.41,110478,81,101095,101095,91.51,45205,5313,50577,3487,1397
Менская вобласць,Старадарожскі,раён,136,0.88,450,2.91,14467,93.4,113,0.73,15695,7,15490,15490,98.69,6244,1558,7688,228,96
Менская вобласць,Стаўбцоўскі,раён,497,1.73,1134,3.95,25363,88.39,355,1.24,31215,104,28693,28693,91.92,11853,3749,13091,920,424
Менская вобласць,Уздзенскі,раён,664,3.9,652,3.83,14638,86.08,269,1.58,18415,6,17005,17005,92.34,7763,2788,6454,616,166
Менская вобласць,Чэрвеньскі,раён,891,3.73,593,2.49,21437,89.85,206,0.86,24979,0,23859,23859,95.52,10113,3242,10504,537,195
Менская вобласць,г. Жодзіна,горад,2044,4.74,2153,5.0,34703,80.52,1161,2.69,49145,56,43097,43097,87.69,18424,794,23879,2729,307
Менская вобласць,Менская вобласць. Агулам,Агулам,32128,3.21,44155,4.41,858287,85.74,21763,2.17,1116445,2019,1001107,1001041,89.66,412680,97707,490654,37552,7156
Брэсцкая вобласць,Баранавіцкі,раён,249,0.98,298,1.18,24486,96.79,133,0.53,26229,188,25298,25298,96.45,11884,3835,9579,115,17
Брэсцкая вобласць,Бярозаўскі,раён,450,1.1,3517,8.63,35235,86.43,336,0.82,43874,671,40780,40768,92.92,17449,2302,21017,1149,81
Брэсцкая вобласць,Брэсцкі,раён,595,2.23,1097,4.12,23979,90.06,236,0.89,28076,99,26626,26626,94.84,11661,2376,12589,595,124
Брэсцкая вобласць,Ганцавіцкі,раён,150,0.72,489,2.36,19703,95.11,95,0.46,21362,261,20716,20716,96.98,10318,736,9662,187,92
Брэсцкая вобласць,Драгічанскі,раён,346,1.22,382,1.35,26669,94.11,149,0.53,29158,120,28339,28339,97.19,13239,2763,12337,715,78
Брэсцкая вобласць,Жабінкаўскі,раён,233,1.34,259,1.49,16392,94.05,90,0.52,17888,25,17429,17429,97.43,6703,2731,7995,424,31
Брэсцкая вобласць,Іванаўскі,раён,380,1.25,736,2.42,28588,94.09,197,0.65,31217,73,30383,30383,97.33,14410,2748,13225,350,132
Брэсцкая вобласць,Івацэвіцкі,раён,612,1.49,2251,5.49,36346,88.59,342,0.83,42829,48,41027,41027,95.79,16902,2677,21448,1104,372
Брэсцкая вобласць,Камянецкі,раён,151,0.6,1235,4.9,23472,93.1,50,0.2,26980,288,25212,25212,93.45,10778,3294,11140,229,75
Брэсцкая вобласць,Кобрынскі,раён,935,1.62,2640,4.56,50830,87.89,626,1.08,61219,400,57834,57834,94.47,22120,4857,30857,2315,488
Брэсцкая вобласць,Лунінецкі,раён,2560,4.97,2317,4.5,44444,86.31,421,0.82,55364,98,51494,51492,93.01,20001,2282,29209,1218,532
Брэсцкая вобласць,Ляхавіцкі,раён,160,0.78,661,3.23,19296,94.36,124,0.61,20864,72,20449,20449,98.01,9087,2347,9015,139,69
Брэсцкая вобласць,Маларыцкі,раён,236,1.36,175,1.01,16269,93.95,121,0.7,17837,120,17316,17316,97.08,7591,1864,7861,485,30
Брэсцкая вобласць,Пінскі,раён,383,1.05,2959,8.1,31907,87.39,239,0.65,37124,40,36510,36510,98.35,16715,2161,17634,787,235
Брэсцкая вобласць,Пружанскі,раён,457,1.25,1764,4.82,33871,92.62,243,0.66,37801,166,36569,36569,96.74,14654,4268,17647,234,0
Брэсцкая вобласць,Столінскі,раён,605,1.14,2941,5.57,47652,90.17,378,0.72,54443,15,52847,52845,97.06,23835,1269,27741,786,483
Брэсцкая вобласць,г. Баранавічы,горад,3454,3.2,6076,5.63,85752,79.45,1965,1.82,130367,386,108111,107931,82.79,44967,5678,57286,10038,646
Брэсцкая вобласць,г. Пінск,горад,2152,2.58,5668,6.79,68317,81.89,1514,1.81,91930,16,83769,83421,90.74,26977,2250,54194,4704,1066
Брэсцкая вобласць,Ленінскі раён г. Брэсту,раён гораду,2287,3.9,5214,8.9,46139,78.74,880,1.5,71005,441,58602,58595,82.52,24081,2467,32047,3580,495
Брэсцкая вобласць,Маскоўскі раён г. Брэсту,раён гораду,4904,3.8,7626,5.91,103391,80.13,2581,2.0,158707,925,129045,129029,81.3,56060,2928,70041,9253,1274
Брэсцкая вобласць,Брэсцкая вобласць. Агулам,Агулам,21299,2.35,48305,5.32,782738,86.22,10720,1.18,1004274,4452,908360,907789,90.39,379432,55833,472524,38407,6320
Гарадзенская вобласць,Берастовіцкі,раён,167,1.42,208,1.77,10960,93.05,104,0.88,12016,0,11779,11779,98.03,5437,1612,4730,317,23
Гарадзенская вобласць,Валкавыскі,раён,645,1.29,2596,5.18,44581,89.01,154,0.31,55627,237,50086,50086,90.04,18205,3660,28221,1606,504
Гарадзенская вобласць,Воранаўскі,раён,218,1.05,591,2.85,19297,93.06,111,0.54,21630,27,20735,20735,95.86,12702,2726,5307,365,153
Гарадзенская вобласць,Гродзенскі,раён,623,1.65,1106,2.94,34410,91.4,286,0.76,40917,8,37649,37649,92.01,13859,4124,19666,967,257
Гарадзенская вобласць,Дзятлаўскі,раён,325,1.46,375,1.68,20730,93.03,91,0.41,22702,57,22284,22284,98.16,9669,3091,9524,731,32
Гарадзенская вобласць,Зельвенскі,раён,192,1.49,310,2.41,11966,93.08,76,0.59,13194,0,12856,12856,97.44,6028,2220,4608,247,65
Гарадзенская вобласць,Іўеўскі,раён,277,1.38,336,1.67,18734,93.01,101,0.5,20755,0,20141,20141,97.04,8373,1950,9818,263,430
Гарадзенская вобласць,Карэліцкі,раён,108,0.64,501,2.98,15946,94.89,81,0.48,17455,0,16805,16805,96.28,7496,3970,5339,142,27
